id,trial,aAngHG_oHead,aAngHG_oMid,aAngHG_oReach,aAngHGFeed1,aAngHGFeed2,aAngHGFeed3,aAngHGFeed4,aDistReach_1,aDistReach_2,aDistReach_3,aDistReach_4,oAngHGFeed1,oAngHGFeed2,oAngHGFeed3,oAngHGFeed4,oDistReach1,oDistReach2,oDistReach3,oDistReach4,s_1,s_2,s_3,s_4,b_1,b_2,b_3,b_4
54594,6,75.56356209,82.31413838,94.91995087,101.2355326,100.4518864,88.26460536,85.22229646,0.605870647,0.581938007,0.410416521,0.472064749,56.48610675,22.89212205,19.8942718,23.37380697,0.157204625,0.049479146,0.153944324,0.281671236,0,0,0,1,0,0,0,0
54595,6,73.60481108,79.54064277,91.83383784,99.10147934,97.35758673,84.9842235,81.32907927,0.607720279,0.584512289,0.413614405,0.475653151,56.446401,22.85657553,19.88679497,23.40185381,0.157750522,0.050361603,0.152671099,0.28082014,0,0,0,1,0,0,0,0
54596,6,71.51556982,76.83859983,89.05630127,96.77951741,94.37984787,81.8651433,77.96684126,0.612018915,0.586970731,0.41458582,0.474055079,56.33777575,22.78255194,19.89961994,23.46322054,0.158184249,0.049140429,0.153494767,0.280842218,0,0,0,1,0,0,0,0
54597,6,69.69913946,74.18841914,86.12212525,94.6478121,91.38037998,78.71925168,74.25297971,0.61187674,0.587553448,0.415751074,0.475970139,56.38261356,22.80066499,19.86535148,23.45684718,0.159126173,0.049205042,0.153009078,0.280087046,0,0,0,1,0,0,0,0
54598,6,67.76269582,71.91379396,83.67149002,92.47649672,88.85861833,76.09852695,71.68178987,0.613734332,0.590126488,0.418940174,0.47955291,56.38365922,22.69336683,20.04973436,23.6812683,0.159274071,0.049022651,0.153277298,0.280134153,0,0,0,1,0,0,0,0
54599,6,65.52980546,69.13172915,80.64279874,89.9350351,85.69300311,72.82729582,68.17083312,0.600956239,0.575455891,0.403341094,0.46428684,56.24230647,22.53339185,19.9965803,23.74553209,0.15905929,0.04869128,0.154148508,0.280696693,0,0,0,1,0,0,0,0
54600,6,63.27055898,66.4928658,77.81435883,87.42235394,82.86914987,69.92261448,65.3974202,0.60437448,0.579613653,0.407965125,0.469039861,56.15639734,22.39927235,20.01531362,23.84751143,0.159674122,0.048934363,0.154095382,0.28039733,0,0,0,1,0,0,0,0
54601,6,61.17602488,64.0777804,75.28757563,85.07040701,80.33061275,67.3151694,63.03995458,0.606225356,0.578773898,0.406543024,0.46156013,56.15618243,22.38707265,20.25845042,24.02149443,0.160086056,0.049017615,0.154313705,0.280330229,0,0,0,1,0,0,0,0
54602,6,59.2625244,61.6871915,72.76432769,82.82699165,77.83299162,64.75138593,60.60951477,0.608116126,0.584804412,0.414419702,0.471542258,56.2017216,22.49105625,20.42454581,24.05660398,0.161783993,0.048958055,0.153565131,0.278982703,0,0,0,1,0,0,0,0
54603,6,57.6599911,59.6382504,70.48054317,80.85560518,75.50869289,62.36268465,58.16104968,0.579448824,0.526126296,0.354360797,0.388878647,56.28959426,22.60395949,20.46901287,24.00975844,0.162877729,0.048721514,0.153063476,0.278054651,0,0,0,0,0,0,0,0
