id,trial,headFront_x,headFront_y,headFront_z,neck_x,neck_y,neck_z,lowerBack_x,lowerBack_y,lowerBack_z,leftWrist_x,leftWrist_y,leftWrist_z,leftShoulder_x,leftShoulder_y,leftShoulder_z,leftElbow_x,leftElbow_y,leftElbow_z,s_1,s_2,s_3,s_4
16988,18,-345.605957,-376.8701782,2023.757568,-302.1386108,-343.1300049,1822.763428,-351.4910889,-96.2802124,2251.158203,-350.6203003,-374.7415771,2021.955688,-470.6281433,-335.3052979,1889.932861,-340.2596436,-377.473877,2030.744385,0,0,0,0
16989,18,-347.2258911,-373.159729,2024.583618,-299.1533813,-340.296814,1822.422852,-353.6331787,-93.10827637,2244.477783,-352.2357788,-370.6459351,2022.55896,-470.6594238,-335.2953491,1890.473389,-342.3692627,-373.1463623,2031.538086,0,0,0,0
16990,18,-347.7516479,-372.7062988,2024.554565,-299.8585205,-340.3943481,1822.25647,-353.3080444,-93.60430908,2246.013672,-352.757019,-370.2110596,2022.578857,-470.7529907,-335.2704468,1890.573364,-342.7587891,-372.645874,2031.471313,0,0,0,0
16991,18,-349.8609009,-370.9514771,2027.860352,-299.7369995,-338.722168,1822.041992,-351.5084839,-97.48760986,2254.421875,-354.6221924,-368.7905884,2025.799683,-470.7402344,-335.9353027,1891.111816,-345.2620239,-371.0436401,2034.405762,0,0,0,0
16992,18,-349.3191528,-370.9143066,2028.013916,-296.723877,-337.921936,1822.050049,-351.7966309,-97.40142822,2255.550293,-354.2018433,-368.8861084,2026.003418,-470.8721924,-334.6452637,1890.222656,-344.9573975,-371.0952759,2035.07312,0,0,0,0
16993,18,-348.1856079,-371.7833252,2029.036987,-299.973938,-339.5119629,1822.123535,-350.8981934,-98.48950195,2256.016113,-352.9169312,-369.7214966,2027.01001,-470.3121643,-335.7873535,1891.14209,-343.9075317,-371.8922729,2035.53186,0,0,0,0
16994,18,-350.7302856,-372.520813,2024.26123,-298.4120483,-340.2260132,1822.137207,-347.9614258,-97.14709473,2254.145508,-355.4161987,-370.1879272,2022.27124,-469.5953369,-336.329834,1890.747803,-345.3269653,-372.4456177,2031.15686,0,0,0,0
16995,18,-350.3078003,-375.0142212,2022.637085,-298.8178101,-340.4766846,1821.513672,-345.5725708,-95.94238281,2248.589844,-354.9395752,-372.6381836,2020.727783,-469.510376,-335.866394,1889.957886,-344.7037964,-375.067749,2029.473999,0,0,0,0
16996,18,-350.6057129,-373.5111084,2022.099365,-298.796814,-340.8692017,1821.868774,-346.3493652,-97.21948242,2253.341797,-355.2400513,-371.0465698,2020.158936,-469.2514648,-335.0820923,1889.700195,-344.9559937,-373.3898926,2028.940918,0,0,0,0
16997,18,-349.3701172,-374.3780518,2022.516479,-300.4015503,-341.430603,1821.911499,-343.725708,-96.7199707,2254.937988,-353.947937,-371.9075317,2020.494873,-469.4570313,-335.7835693,1889.773926,-343.6955566,-374.2805786,2029.264648,0,0,0,0
16998,18,-347.5683594,-370.9133301,2025.540894,-298.7598267,-340.6224976,1822.758911,-354.8707275,-93.07525635,2242.786133,-352.3567505,-368.3894653,2023.445679,-470.1017456,-335.5007324,1890.965942,-342.7189941,-370.7593994,2032.107422,0,0,0,0
16999,18,-347.7815552,-370.0418701,2029.932617,-297.1994019,-337.9528198,1822.209839,-351.7427368,-97.78570557,2255.178223,-352.7318726,-368.4538574,2027.984131,-471.3568115,-334.6030884,1890.499023,-344.1760864,-370.5415039,2036.649414,0,0,0,0
17000,18,-349.397583,-369.7096558,2028.726563,-297.0783691,-337.6560669,1821.672241,-346.043396,-96.63757324,2254.747803,-354.0221558,-368.1876831,2026.996948,-471.8337097,-333.4335938,1888.520752,-345.546936,-369.9654541,2035.950439,0,0,0,0
17001,18,-343.8268433,-372.4162598,2027.529297,-297.6205444,-339.7568359,1823.571777,-351.7304077,-94.68438721,2234.482422,-348.8049927,-370.194397,2025.434326,-471.0090942,-336.21875,1891.509766,-339.4917603,-372.7293701,2033.366943,0,0,0,0
17002,18,-347.8143921,-372.2558594,2023.078857,-299.0612183,-339.4975586,1823.306763,-344.9467163,-95.5335083,2245.518799,-352.5893555,-369.7888794,2021.347778,-470.9005432,-335.6887207,1891.710205,-342.1453857,-372.3092041,2029.749756,0,0,0,0
17003,18,-347.9812622,-372.314209,2021.649658,-298.34375,-339.3724365,1822.591064,-346.1921997,-95.61651611,2239.441406,-352.7265015,-369.8320923,2019.727051,-469.4515381,-336.807251,1891.311279,-342.4267578,-372.2654419,2028.022461,0,0,0,0
17004,18,-347.1087036,-373.4038696,2023.974854,-299.6521606,-339.8165894,1822.98291,-345.2287598,-96.51806641,2248.348877,-351.8101807,-370.8765259,2022.234863,-470.9304504,-335.6812134,1892.194092,-341.4344482,-373.4088745,2030.648438,0,0,0,0
