id,trial,headFront_x,headFront_y,headFront_z,headFront_confidence,neck_x,neck_y,neck_z,neck_confidence,lowerBack_x,lowerBack_y,lowerBack_z,lowerBack_confidence,leftWrist_x,leftWrist_y,leftWrist_z,leftWrist_confidence,leftShoulder_x,leftShoulder_y,leftShoulder_z,leftShoulder_confidence,leftElbow_x,leftElbow_y,leftElbow_z,leftElbow_confidence
55800,23,-232.7166138,-344.6104736,2016.42627,0.001361091,-116.4700317,-339.2910156,1833.775635,0.8097377,-313.6304016,-132.2158203,2194.300293,0.30472547,-235.5455322,-347.7941895,2013.119873,0.001332142,-273.1411743,-385.7382202,1898.903076,0.768248,-232.5581665,-344.4033203,2019.751343,0.001175995
55801,23,-240.3832397,-349.7689819,2009.10498,0.001608186,-117.6566162,-352.7976685,1830.949707,0.7807199,-326.1033936,-108.479187,2207.264648,0.30674124,-242.477417,-352.5984497,2006.805664,0.001508811,-271.3206482,-401.2038574,1902.867188,0.7076055,-241.0298462,-349.9874878,2012.938965,0.001357914
55802,23,-226.2711182,-366.9891968,2011.611084,0.001424212,-111.4887695,-364.0132446,1832.577881,0.8077967,-322.7653198,-141.4871826,2210.078857,0.18930368,-226.5579834,-367.9806519,2010.103516,0.001502515,-263.0168762,-413.302002,1903.077881,0.71955365,-224.6835327,-366.6784668,2016.240723,0.001238971
55803,23,-236.2327271,-364.8287964,2020.688477,0.001542763,-110.3352051,-386.6754761,1839.629761,0.8117786,-318.0186462,-129.5040283,2190.44458,0.40984508,-237.701416,-370.1777954,2018.224731,0.001425424,-261.2428589,-460.0803833,1911.093018,0.7284712,-235.5558472,-365.5999146,2025.079712,0.001358675
55804,23,-246.0205078,-363.7601318,2032.800171,0.001651913,-105.8140259,-391.6229248,1841.480713,0.85046864,-320.3370056,-173.324585,2205.525879,0.43627936,-247.1176758,-368.5529175,2031.236816,0.001569585,-252.4990845,-462.9984131,1916.846191,0.7020427,-245.5012207,-363.6550903,2039.070801,0.001436369
55805,23,-244.0042114,-367.7566528,2015.11145,0.001280664,-104.9769287,-394.2584534,1838.115479,0.84945387,-322.8797913,-139.6813965,2143.703125,0.47545904,-244.6793823,-372.5401611,2013.143555,0.001441575,-255.5374146,-459.8187256,1905.040649,0.6501382,-243.043457,-367.6565552,2020.796387,0.001030688
55806,23,-245.3884277,-368.2485352,2005.879028,0.001415153,-98.64337158,-409.9989319,1841.600708,0.8451002,-311.575592,-140.9597168,2148.887451,0.443921,-244.718689,-373.8240356,2003.378662,0.001218701,-241.0252075,-483.2332764,1910.831665,0.66391534,-244.0430908,-368.3560181,2010.909912,0.001184541
55807,23,-232.0892334,-388.3421631,2000.222412,0.001388925,-92.24737549,-424.0733643,1844.853271,0.85289484,-354.1638489,-160.1234131,2128.054688,0.4967745,-232.7945557,-394.2910156,1998.055664,0.001411424,-238.0281372,-504.4672852,1921.19104,0.603343,-231.5490723,-387.3743896,2004.262207,0.001096651
55808,23,-239.1551514,-431.1331787,2011.100586,0.001244771,-93.20526123,-436.1159668,1839.174561,0.8504907,-265.311615,-247.0678101,2137.873779,0.21151747,-240.8251953,-436.196228,2010.394653,0.00142644,-250.1565552,-499.0198059,1922.120605,0.650588,-238.3998413,-431.9695435,2016.429565,0.001066211
55809,23,-226.7042847,-451.3370361,2016.282471,0.001281357,-94.57910156,-443.9404907,1839.310547,0.8481526,-275.1697083,-244.9533691,2165.281738,0.17507853,-227.2625122,-456.5019531,2014.474976,0.001464464,-239.5239258,-525.9741211,1923.370117,0.6595915,-225.7651978,-451.8360596,2021.091309,0.001139953
55810,23,-209.3592529,-446.934021,1999.034058,0.001252058,-89.77770996,-455.5640259,1837.458984,0.8299734,-285.0310059,-372.9212646,2168.943848,0.35145587,-209.9884033,-450.8023071,1997.387085,0.001481961,-244.3282471,-516.7562256,1916.142822,0.6631753,-208.1794434,-447.9265747,2003.38501,0.001092871
55811,23,-222.357605,-450.4622803,2010.062256,0.001523378,-86.20721436,-466.9439697,1836.710938,0.8883499,-276.0494995,-319.2772827,2161.047119,0.42559874,-222.324646,-458.147644,2009.141357,0.001387816,-212.2884521,-578.0393066,1936.874268,0.5786291,-221.1088257,-451.9276123,2016.213257,0.001227732
55812,23,-202.1326294,-457.7704468,1999.094238,0.001248098,-76.37988281,-472.4761963,1833.762817,0.87080574,-301.9107056,-279.2338257,2117.26123,0.50115746,-203.9824219,-461.4335327,1997.112671,0.001387077,-235.1904297,-543.2436523,1910.908691,0.6180573,-201.6591187,-457.3226929,2004.040283,0.001036509
55813,23,-208.8300781,-457.7869873,2002.360107,0.001362067,-71.91412354,-477.2556763,1832.524536,0.882187,-265.5447388,-346.2260742,2161.196777,0.43792516,-210.3521729,-463.0578613,1999.974365,0.001407499,-226.5924072,-554.376709,1904.590576,0.6383805,-208.1210327,-458.0186768,2008.111084,0.001090724
55814,23,-208.3143921,-469.7484741,2004.277344,0.001161717,-72.11065674,-487.6769409,1834.236694,0.8669034,-297.9542847,-287.6286621,2113.702637,0.42438614,-209.1878662,-473.3087158,2001.084717,0.001345654,-226.2994995,-536.578125,1902.931152,0.73579675,-206.8045654,-469.9653931,2008.967163,0.001075892
55815,23,-206.7053223,-469.4912109,1975.057129,0.001408551,-66.55950928,-495.3411865,1824.317261,0.8740397,-299.2574158,-298.869751,2097.253906,0.521012,-205.2650146,-474.5443726,1974.66394,0.001388512,-204.8291016,-585.4537354,1909.712769,0.6558921,-204.3144531,-470.3364258,1978.987305,0.001198286
