id,trial,H_headTop_x,H_headTop_y,H_headTop_z,H_headTop_confidence,H_neck_x,H_neck_y,H_neck_z,H_neck_confidence,H_tailBase_x,H_tailBase_y,H_tailBase_z,H_tailBase_confidence,H_lEar_x,H_lEar_y,H_lEar_z,H_lEar_confidence,H_lShoulder_x,H_lShoulder_y,H_lShoulder_z,H_lShoulder_confidence,H_lElbow_x,H_lElbow_y,H_lElbow_z,H_lElbow_confidence,H_lWrist_x,H_lWrist_y,H_lWrist_z,H_lWrist_confidence,H_lHip_x,H_lHip_y,H_lHip_z,H_lHip_confidence,H_rEar_x,H_rEar_y,H_rEar_z,H_rEar_confidence,H_rShoulder_x,H_rShoulder_y,H_rShoulder_z,H_rShoulder_confidence,H_rHip_x,H_rHip_y,H_rHip_z,H_rHip_confidence,s_1,s_2,s_3,s_4,b_1,b_2,b_3,b_4
4037,16,-182.8575439,-801.805481,1779.29187,0.76182044,-210.0296631,-588.8438721,1857.957397,0.8587612,-277.0140686,-145.3204346,2230.606201,0.7840688,-277.7095947,-704.4980469,1832.567993,0.8059469,-344.7102051,-528.0732422,1933.915283,0.60204,-261.3114624,-542.1314697,2008.674805,0.000416884,-260.6902466,-541.2856445,2009.376465,0.00041958,-382.3517456,-216.2565918,2227.537842,0.8240912,-122.1453247,-709.9134521,1839.84314,0.8575267,-46.347229,-554.9404907,1919.44812,0.8766309,-126.7350464,-168.5649414,2241.256348,0.7493948,1,1,1,1,0,0,0,0
4038,16,-189.8902588,-804.6572266,1775.197998,0.7748288,-212.8583984,-596.7138062,1855.983276,0.84406185,-273.6013794,-152.5491943,2230.020752,0.7765498,-279.6936035,-711.7011719,1831.713501,0.8188607,-349.0446167,-552.6074219,1940.787964,0.58215594,-261.7974854,-537.5087891,2013.611328,0.000377962,-261.7402344,-537.1442871,2013.847656,0.000405761,-384.4495239,-221.6039429,2221.488281,0.79973835,-126.6726074,-718.864624,1837.224365,0.8639399,-46.48236084,-563.1557617,1915.597168,0.90524536,-120.3369751,-187.9777832,2249.710449,0.68840116,1,1,1,1,0,0,0,0
4039,16,-194.6809082,-808.9868164,1773.29895,0.7878946,-215.5048828,-601.9191895,1853.755371,0.87704027,-273.9228821,-152.201355,2213.911621,0.7842807,-287.1960449,-719.6166992,1835.011719,0.8212386,-360.8599243,-549.6113892,1928.836304,0.7818183,-264.8720093,-550.8817749,2006.859863,0.000413692,-264.7870178,-550.8463745,2008.128662,0.000446958,-382.7323608,-222.0505981,2209.499023,0.73883694,-132.071167,-731.5612183,1841.258423,0.8821828,-47.59039307,-568.6021729,1911.312256,0.90541583,-124.7532959,-189.0560913,2229.98291,0.65035737,1,1,1,1,0,0,0,0
4040,16,-203.5913696,-805.2151489,1766.238525,0.6710204,-216.1565552,-618.8946533,1859.093384,0.8983988,-264.7921753,-158.0330811,2213.935303,0.793228,-291.2001953,-722.0016479,1830.990234,0.8674967,-371.0308838,-535.576416,1921.246338,0.6448879,-254.8648071,-554.2438965,2009.262329,0.000507513,-255.1798706,-554.0288696,2010.175293,0.000530619,-378.9289551,-223.5814819,2211.838867,0.7430992,-140.1171875,-731.3533936,1827.653809,0.86984146,-52.54614258,-565.0002441,1909.549072,0.9102709,-119.96521,-192.8623047,2219.286133,0.69993556,1,1,1,1,0,0,0,0
4041,16,-207.3060303,-825.3905029,1770.508179,0.7477524,-218.4014282,-624.0551758,1849.421387,0.8740966,-279.980957,-167.3510132,2215.080078,0.788961,-297.9214478,-733.8861084,1830.416992,0.80955845,-374.6643677,-562.2718506,1937.380859,0.76964957,-265.5393066,-572.7963867,1992.232056,0.000420299,-265.5565796,-572.510498,1992.103271,0.000452323,-386.4742126,-235.1872559,2208.783936,0.79378605,-149.0535278,-743.5366211,1830.913208,0.7337669,-58.09356689,-575.0172729,1911.282471,0.88356405,-135.5484619,-191.090332,2222.226318,0.65689176,1,1,1,1,0,0,0,0
4042,16,-213.7359009,-820.2751465,1763.521362,0.7086335,-217.7925415,-628.520874,1847.422119,0.87459487,-265.3045044,-172.9478149,2214.144043,0.7639807,-302.059906,-736.5862427,1826.498779,0.81745464,-368.6109619,-559.161499,1925.203369,0.8071767,-262.0361938,-568.9165039,1989.814209,0.000586588,-262.515564,-569.557251,1989.527344,0.000599709,-379.133606,-232.9150391,2206.922119,0.7764334,-148.5350342,-749.8737793,1829.683105,0.8152923,-58.90393066,-586.4241333,1908.656006,0.8702577,-117.295105,-206.8193359,2216.938721,0.49243212,1,1,1,1,0,0,0,0
4043,16,-222.8752441,-816.0863037,1742.039551,0.72331524,-223.4296265,-634.8934326,1845.709961,0.8355548,-260.8252869,-176.3212891,2213.467285,0.7961202,-305.2435608,-741.6939697,1819.764526,0.8716394,-382.7114258,-576.6082764,1922.712402,0.80849755,-260.4637451,-581.0725098,1986.969971,0.000449412,-259.8599548,-580.4710693,1986.408936,0.000488643,-376.8886108,-237.4127808,2206.775879,0.82558393,-153.7647705,-750.7062988,1826.484131,0.829235,-57.97674561,-587.6451416,1905.305786,0.8804436,-108.5169067,-210.7197266,2223.713623,0.62257916,1,1,1,1,0,0,0,0
4044,16,-226.2869873,-825.3022461,1742.461792,0.76185477,-226.8721924,-641.8865967,1841.085449,0.842569,-267.7922058,-177.9462891,2200.165527,0.8255726,-309.7157593,-743.901001,1817.311523,0.86899304,-389.3209534,-586.1392822,1920.918457,0.6528057,-260.8748474,-584.9958496,1973.628662,0.000472424,-260.6305542,-584.4158325,1974.205444,0.000512802,-381.0803223,-242.1542969,2205.656494,0.8155734,-157.9520264,-756.7070923,1820.049805,0.8635051,-60.70159912,-592.2861938,1903.263916,0.8741993,-124.1829224,-203.1087646,2196.693359,0.7332083,1,1,1,1,0,0,0,0
4045,16,-231.949646,-834.0006104,1740.997803,0.8339259,-229.4498291,-649.6367798,1840.797607,0.80198365,-267.3852844,-182.7558594,2198.598145,0.785979,-312.7295227,-749.7087402,1819.307251,0.84564906,-388.0673828,-586.7982178,1925.187744,0.6111165,-262.4393311,-582.1397705,1981.949219,0.000521936,-261.6872559,-581.5370483,1981.383545,0.000561847,-380.5386353,-246.4389038,2202.449707,0.82852453,-159.7577515,-759.2501831,1818.95459,0.86684364,-58.11791992,-591.8443604,1898.604248,0.872451,-115.7251587,-213.0288086,2197.152832,0.6298728,1,1,1,1,0,0,0,0
4046,16,-236.2922974,-842.0758057,1738.570801,0.8459878,-233.7404785,-657.2883911,1833.196533,0.7945952,-260.1466064,-187.5510254,2199.946289,0.79049,-318.808197,-757.1120605,1812.817139,0.8162801,-388.696106,-584.6359863,1911.020508,0.7410369,-259.4650879,-589.7515869,1981.046753,0.00056819,-259.2073975,-589.2627563,1981.038574,0.000602264,-375.3104248,-246.2340088,2201.23584,0.81902903,-161.6757202,-767.3520508,1813.586182,0.8915232,-62.23547363,-598.8824463,1895.842773,0.871767,-108.5914307,-222.6859131,2203.364746,0.67777485,1,1,1,1,0,0,0,0
