time_stamp_m,time_stamp_s,id,trial,nose_x,nose_y,nose_z,headTop_x,headTop_y,headTop_z,neck_x,neck_y,neck_z,tailBase_x,tailBase_y,tailBase_z,lEar_x,lEar_y,lEar_z,lShoulder_x,lShoulder_y,lShoulder_z,lElbow_x,lElbow_y,lElbow_z,lWrist_x,lWrist_y,lWrist_z,lHip_x,lHip_y,lHip_z,lKnee_x,lKnee_y,lKnee_z,lAnkle_x,lAnkle_y,lAnkle_z,rEar_x,rEar_y,rEar_z,rShoulder_x,rShoulder_y,rShoulder_z,rElbow_x,rElbow_y,rElbow_z,rWrist_x,rWrist_y,rWrist_z,rHip_x,rHip_y,rHip_z,rKnee_x,rKnee_y,rKnee_z,rAnkle_x,rAnkle_y,rAnkle_z,s_1,s_2,s_3,s_4,b_1,b_2,b_3,b_4
1.345333333,80.72,4036,16,1035.375977,-428.531189,1870.968384,1029.983154,-418.433075,1824.422241,1358.005255,-390.771565,1712.346191,1346.469429,-582.5815477,2104.239788,1153.798355,-342.2279729,1720.963649,1148.213501,-325.9628296,1888.47937,1172.170498,-191.4127154,1784.097622,1085.368408,-344.0801392,2014.935791,1342.245835,-342.3294202,2022.45319,1221.423191,-225.574558,1975.36711,1306.26325,-205.5364379,1938.459051,1114.946777,-432.4518433,1809.735229,1138.442261,-435.4810486,1922.444092,1134.042969,-430.3963928,2085.825684,1035.288696,-348.5458984,2172.455566,1254.002197,-601.6851807,2111.036133,1130.009888,-498.0974731,2182.607666,1093.629395,-463.1227112,2351.0625,1,1,1,1,0,0,0,0
1.345666667,80.74,4037,16,1015.450073,-419.3560181,1889.400879,1016.276001,-405.6784058,1842.328003,1357.614483,-387.7092625,1712.346191,1336.130615,-590.0048828,2100.050537,1060.545898,-320.1055298,1841.317871,1135.588135,-322.0540161,1918.790894,1171.213435,-176.6313748,1783.140559,1041.210693,-333.1470337,2044.890259,1340.534188,-325.505925,2020.741543,1220.295318,-209.5906065,1974.239237,1305.235568,-189.3128263,1937.431369,1101.535767,-420.7231445,1825.845215,1144.412147,-430.0785291,1910.175995,1113.676025,-433.9122314,2095.265869,1060.668823,-355.9365234,2231.505371,1257.755493,-601.7260742,2113.627441,1176.718384,-500.6389771,2183.440918,1095.977051,-462.500061,2352.696045,1,1,1,1,0,0,0,0
1.346,80.76,4038,16,986.4832764,-410.1374512,1910.579468,987.5718384,-396.8312683,1863.07666,1357.226774,-384.6477416,1712.346191,1315.746338,-582.6959839,2091.695068,1074.070736,-318.9669896,1822.638466,1112.030151,-318.6991577,1949.865967,1153.807861,-325.0460205,2115.638184,1000.729004,-321.1628418,2073.401367,1338.906658,-308.6995464,2019.114013,1219.247365,-193.6179337,1973.191284,1304.289004,-173.0994917,1936.484805,1082.263184,-405.864624,1849.691772,1142.261754,-414.8055884,1908.025602,1090.763672,-433.4898071,2100.937988,1020.889771,-371.8384399,2247.547607,1250.661133,-600.3612061,2116.072266,1125.427368,-498.9310608,2179.844482,1125.411499,-473.5516357,2341.7146,1,1,1,1,0,0,0,0
1.346333333,80.78,4039,16,966.3775635,-401.7673035,1931.310547,964.256897,-388.0700989,1884.296997,1072.096802,-334.8399658,1904.45459,1309.001221,-575.5361328,2097.178223,1072.475901,-304.4834436,1821.043631,1075.246948,-301.7694702,1965.919434,1141.072388,-324.7529907,2130.909424,987.0635986,-317.3937378,2093.454346,1343.979736,-532.4344482,2116.856445,1218.279275,-177.6557405,1972.223195,1303.423507,-156.8956226,1935.619308,1060.729248,-394.2263489,1869.46814,1059.957764,-413.0701904,1973.686035,1086.31543,-437.2763062,2122.105225,1005.952026,-374.1307068,2263.539795,1244.751831,-595.8630371,2117.94458,1111.103394,-496.7268372,2182.292969,1127.341553,-468.4810181,2343.873047,1,1,1,1,0,0,0,0
1.346666667,80.8,4040,16,938.755249,-394.4636841,1949.672607,937.7275391,-382.7718506,1903.134155,1045.174561,-326.1330566,1919.489014,1282.250244,-571.6025391,2096.1604,1070.953484,-290.0158459,1819.521214,1050.750977,-296.3416138,1981.271606,1089.642212,-312.3120728,2149.363281,955.3271484,-304.1345215,2105.883057,1323.741211,-521.496582,2115.689453,1217.390996,-161.7032281,1971.334916,1302.639028,-140.7004085,1934.834829,1039.607788,-388.8398743,1887.844116,1040.24585,-401.7893066,1990.553711,1056.799927,-423.1931763,2139.279541,981.8572388,-363.1186523,2298.908936,1224.922119,-586.3099365,2118.685303,1106.690918,-493.2081909,2180.938477,1114.545654,-461.7264099,2348.807617,1,1,1,1,0,0,0,0
1.347,80.82,4041,16,911.0026245,-387.8015442,1969.877808,907.84198,-373.3060913,1921.766602,1016.291809,-319.50177,1944.639771,1262.759155,-562.3171387,2095.234375,1069.503405,-275.5634724,1818.071135,1019.392456,-281.1034546,2000.898193,1064.166992,-298.0401001,2158.3479,924.1395874,-282.5786133,2130.53418,1302.600586,-509.3239441,2116.776855,1291.936768,-432.7289124,2282.624512,1301.935526,-124.5130393,1934.131327,1015.014404,-379.9979248,1916.620728,1008.630432,-398.7136841,2010.337158,1025.568115,-419.0245056,2146.711426,983.5775757,-358.5014954,2342.933105,1211.108643,-577.6887817,2119.538574,1083.822876,-491.7491455,2181.717285,1101.465698,-459.8533325,2351.227051,1,1,1,1,0,0,0,0
1.347333333,80.84,4042,16,887.3356323,-385.3132629,1991.088867,885.4126587,-370.2734985,1940.61731,987.9345703,-313.0578613,1955.571655,1249.515503,-550.6260986,2090.727539,918.5169067,-286.7491455,1937.579224,992.012146,-268.5889282,2020.394287,1007.677979,-295.1451416,2160.53125,890.4748535,-248.0601196,2146.405518,1297.968506,-499.8414612,2120.283447,1286.564372,-415.3546126,2265.184826,1301.312961,-108.332705,1933.508762,984.4437256,-373.0187988,1934.518066,969.5658569,-394.5731812,2018.292236,998.7971191,-415.8745728,2162.815918,958.9557495,-349.129425,2341.498047,1190.602173,-565.9067383,2111.395752,1069.060913,-485.3120117,2176.458252,1088.918579,-455.4212036,2357.813965,1,1,1,1,0,0,0,0
1.347666667,80.86,4043,16,857.5447388,-377.2920532,2006.768921,856.9050903,-362.4530029,1957.840088,958.7035522,-302.0336304,1976.334351,1235.176025,-537.4755859,2089.686035,940.0027181,-281.0079131,1919.572368,959.4172363,-271.3672485,2049.198975,977.6407471,-289.4545593,2166.020996,909.6475438,-255.927466,2134.386219,1260.895508,-487.3530273,2111.877686,1284.487599,-397.5958666,2263.108053,1300.771298,-92.15859637,1932.967099,959.0206909,-358.3164673,1949.046997,946.7640381,-391.9196167,2037.215942,964.7815552,-393.2018433,2182.406006,914.6829224,-352.6235657,2315.569092,1172.284424,-552.7772217,2113.523926,1045.91687,-473.5312805,2180.208984,1102.127686,-463.0419312,2356.056152,1,1,1,1,0,0,0,0
1.348,80.88,4044,16,831.9396362,-372.5554504,2027.260742,829.9384155,-356.5139771,1977.786377,924.8175049,-289.1451416,1991.551758,1212.718994,-520.9923096,2085.832031,847.4450073,-276.3115845,1981.230957,927.9747314,-256.270874,2065.114258,998.965247,-283.429818,2161.544693,908.3679064,-240.7072972,2133.106582,1231.744141,-464.3653564,2105.769287,1282.499619,-379.8578883,2261.120073,1300.310505,-75.98990439,1932.506306,927.637207,-343.1915588,1965.080322,921.5678711,-381.9447327,2047.500977,982.880172,-393.0718995,2170.266123,930.1049805,-352.6025391,2333.440918,1150.861328,-541.7873535,2112.252441,1036.597412,-462.9042358,2201.330078,1104.885742,-465.1771545,2351.14209,1,1,1,1,0,0,0,0
1.348333333,80.9,4045,16,801.8550415,-365.931366,2042.564697,798.8924561,-347.5924683,1993.359375,890.5893555,-280.4838867,2008.456299,1194.84668,-501.9733582,2079.208252,804.0636597,-264.475708,1999.898682,883.7940674,-237.5274048,2077.249268,997.548098,-267.6272683,2160.127543,907.16437,-225.4999247,2131.903046,1210.321045,-450.9923706,2098.195801,1280.60033,-362.1397899,2259.220784,1299.930555,-59.82582034,1932.126356,889.3845215,-328.5119629,1982.243408,897.7817383,-367.75177,2069.447754,980.9148125,-377.306168,2168.300763,931.1083189,-342.6972383,2327.964594,1133.025269,-531.8956299,2108.446777,1043.449442,-459.0917849,2191.481398,1101.318115,-459.291687,2351.620361,1,1,1,1,0,0,0,0
1.348666667,80.92,4046,16,767.1028442,-353.3909302,2056.867676,761.5686035,-335.6824951,2008.538818,910.9959244,-284.720507,1997.953102,1155.713501,-490.329895,2072.577881,742.0725098,-264.8219604,2011.035767,856.0142822,-226.347168,2088.963379,996.2099616,-251.8388901,2158.789407,906.0368703,-210.3045876,2130.775546,1175.136719,-436.8779297,2092.722168,1208.008545,-423.1158447,2241.200439,1342.092041,-523.796814,2282.967285,851.2816162,-313.2243958,1993.312622,862.1964111,-354.770752,2059.976807,979.0282816,-361.5600901,2166.414232,929.3948327,-326.4018737,2326.251107,1107.501221,-517.4475098,2100.705811,1014.741028,-439.5653381,2212.709229,1094.779053,-459.7521057,2349.788086,1,1,1,1,0,0,0,0
