time_stamp_m,time_stamp_s,id,trial,H_headTop_x,H_headTop_y,H_headTop_z,H_neck_x,H_neck_y,H_neck_z,H_tailBase_x,H_tailBase_y,H_tailBase_z,H_lEar_x,H_lEar_y,H_lEar_z,H_lShoulder_x,H_lShoulder_y,H_lShoulder_z,H_lElbow_x,H_lElbow_y,H_lElbow_z,H_lWrist_x,H_lWrist_y,H_lWrist_z,H_lHip_x,H_lHip_y,H_lHip_z,H_rEar_x,H_rEar_y,H_rEar_z,H_rShoulder_x,H_rShoulder_y,H_rShoulder_z,H_rHip_x,H_rHip_y,H_rHip_z,s_1,s_2,s_3,s_4,b_1,b_2,b_3,b_4
8.165333333,489.92,24496,1,-65.60253906,-597.5509033,1726.609619,-176.6290283,-414.5679626,1828.69519,-350.3701782,-127.1378174,2270.520508,-192.0910034,-539.1395264,1755.285278,-337.902832,-479.5110779,1907.782715,-232.6969604,-400.9675293,1988.683105,-231.098938,-401.0849609,1988.312256,-455.599762,-190.4157104,2243.876465,-51.78625488,-491.1248779,1790.019165,-35.15075684,-378.8409424,1906.082397,-207.2008667,-150.4992676,2293.063721,1,1,1,1,0,0,0,0
8.165666667,489.94,24497,1,-60.56494141,-596.9941406,1731.444702,-174.9734497,-421.1394653,1830.200562,-361.0763245,-130.1065063,2272.326172,-187.4317627,-550.3175659,1762.796631,-332.8546448,-474.8995361,1901.071777,-244.8712769,-420.8297729,1986.841919,-243.4523315,-421.0634155,1987.4375,-460.9396973,-200.40979,2247.057373,-48.26647949,-494.9984436,1791.133545,-32.23297119,-390.0734253,1908.952637,-217.7692261,-149.4716797,2291.759277,1,1,1,1,0,0,0,0
8.166,489.96,24498,1,-45.84783936,-615.4268799,1734.777954,-170.0425415,-434.7215576,1831.075684,-362.5162964,-137.0245361,2276.590088,-183.0405273,-560.828186,1767.145264,-331.260376,-488.7034302,1901.876709,-239.1082153,-418.5499878,1994.072144,-237.5990295,-418.9917603,1993.974854,-465.8602905,-207.8953857,2248.919678,-43.23162842,-506.6644287,1795.983643,-30.39178467,-397.1154175,1908.656738,-217.7229004,-154.5933838,2293.148438,1,1,1,1,0,0,0,0
8.166333333,489.98,24499,1,-43.39263916,-622.944458,1737.191162,-164.5079346,-443.1479187,1834.388916,-365.504364,-142.0969238,2265.282959,-177.0582275,-570.2800293,1768.337769,-325.0925293,-492.6946106,1899.569946,-232.6017151,-440.9299927,1980.03833,-231.4353638,-440.4738464,1980.44751,-470.480957,-216.7939453,2244.457031,-38.64538574,-511.7689209,1798.044678,-26.02429199,-407.4533691,1916.798096,-218.7832642,-149.3106689,2272.803711,1,1,1,1,0,0,0,0
8.166666667,490,24500,1,-37.28643799,-634.0415039,1740.070801,-160.8126221,-449.0889893,1834.932129,-364.7221069,-143.1988525,2254.298828,-172.7363892,-579.2944946,1770.024658,-320.272583,-506.5489197,1900.651855,-226.4020691,-443.6679382,1981.81665,-224.9073486,-443.484314,1982.355347,-463.4567871,-216.8203125,2228.093506,-33.65063477,-522.1160889,1800.666626,-21.28411865,-415.5540771,1920.151611,-219.1571045,-149.0394287,2267.099121,1,1,1,1,0,0,0,0
8.167,490.02,24501,1,-30.56298828,-646.0444336,1741.960205,-153.630127,-458.9273376,1834.549072,-361.4808655,-145.635376,2234.78418,-163.8034058,-593.0540771,1779.64563,-309.2311401,-523.154541,1899.524414,-225.0741882,-457.6600342,1983.990967,-223.5476685,-457.3790894,1984.733276,-458.447998,-224.3623047,2218.916992,-28.28491211,-534.3513184,1803.656738,-17.37780762,-424.8605957,1916.725342,-217.4579468,-154.0421143,2258.768555,1,1,1,1,0,0,0,0
8.167333333,490.04,24502,1,-27.6907959,-651.4675903,1739.66394,-146.369873,-464.9511108,1831.905518,-361.3883362,-149.0531616,2228.509766,-158.696167,-600.8466187,1775.405762,-307.0187378,-531.7733154,1898.175537,-220.9752197,-466.5050049,1975.151611,-219.499115,-466.2194824,1975.805908,-457.866272,-230.6914673,2212.5625,-21.5369873,-542.440918,1803.622803,-13.46282959,-432.0241699,1913.452026,-220.4395752,-152.6940308,2248.540771,1,1,1,1,0,0,0,0
8.167666667,490.06,24503,1,-20.38397217,-664.7096558,1745.963013,-143.0355225,-480.6031494,1834.119629,-367.734436,-153.4733887,2215.190918,-151.5029907,-612.5111084,1776.694336,-304.7269592,-535.9173584,1895.518555,-218.0264282,-491.2567139,1981.221191,-216.4005432,-490.9085083,1982.562012,-467.6368408,-244.72229,2215.276367,-19.01757813,-555.2781372,1807.165527,-11.67645264,-439.6026611,1916.137207,-223.9375305,-148.4660034,2235.352783,1,1,1,1,0,0,0,0
8.168,490.08,24504,1,-14.19525146,-669.5997314,1743.927612,-137.8797607,-487.3968506,1833.616577,-368.8609924,-157.2149658,2214.177734,-146.2243042,-615.6685791,1776.788574,-300.7745972,-548.3500977,1893.964844,-212.09021,-486.5307617,1975.4552,-210.6665955,-485.9453125,1976.258301,-468.3824463,-247.5501099,2212.421875,-10.05029297,-561.2252808,1808.675537,-9.344665527,-445.7946777,1916.022827,-226.9561157,-148.8787231,2233.629395,1,1,1,1,0,0,0,0
8.168333333,490.1,24505,1,-5.889404297,-679.7320557,1746.947144,-132.4337158,-492.43927,1830.071655,-366.5124817,-161.8925781,2204.522949,-140.5185547,-624.0862427,1772.897949,-296.2344055,-556.6517334,1888.440308,-213.4057617,-491.0783997,1967.658447,-211.6708984,-489.9803162,1968.653198,-462.9712219,-249.6541138,2197.49707,-2.907043457,-570.8679199,1811.585693,-3.095458984,-449.7450867,1918.785889,-222.7752686,-156.9326172,2228.216797,1,1,1,1,0,0,0,0
