id,trial,H_headFront_x,H_headFront_y,H_headFront_z,H_neck_x,H_neck_y,H_neck_z,H_lowerBack_x,H_lowerBack_y,H_lowerBack_z,H_leftWrist_x,H_leftWrist_y,H_leftWrist_z,H_leftShoulder_x,H_leftShoulder_y,H_leftShoulder_z,H_leftElbow_x,H_leftElbow_y,H_leftElbow_z,s_1,s_2,s_3,s_4
39414,21,-110.4695435,-607.15625,2019.301758,45.17510986,-664.5785522,1874.509033,-299.941803,-314.1027222,2055.2229,-111.2008667,-613.5360107,2017.457886,-113.7780762,-779.9300537,1952.673462,-110.2834473,-605.3117065,2021.106445,0,1,1,0
39415,21,-108.4143066,-610.8916626,2020.87793,44.9463501,-665.5948486,1873.100708,-302.1842651,-312.6464233,2052.262939,-109.0631104,-617.3718872,2019.248047,-110.5857544,-786.8140259,1953.7677,-108.5756836,-608.9029541,2023.175049,0,1,1,0
39416,21,-109.0053101,-608.9117432,2017.207764,46.91809082,-664.7509766,1876.97876,-302.8391418,-315.585022,2048.637451,-109.4367676,-615.9448853,2015.587524,-107.8300171,-791.7198486,1953.713623,-108.6693115,-606.9335938,2019.757935,0,1,1,0
39417,21,-113.3027344,-610.0432129,2014.071533,46.1451416,-665.2509766,1875.739502,-301.5634766,-315.1327515,2042.573242,-113.6923828,-616.5235596,2012.674438,-109.2611694,-786.350769,1953.198975,-112.7941284,-608.4393921,2016.784302,0,1,1,0
39418,21,-107.534668,-608.9491577,2021.640381,45.50115967,-666.491394,1873.63562,-302.3656921,-314.0177002,2054.688721,-107.8726807,-615.2994995,2020.181396,-109.9209595,-784.046814,1953.45105,-107.0209961,-607.1508789,2023.810303,0,1,1,0
39419,21,-104.4395752,-614.7108154,2008.874634,41.83642578,-664.2236328,1879.259277,-302.0671997,-318.7302856,2046.950195,-105.6935425,-621.4691162,2007.193604,-110.5719604,-790.1273193,1955.998047,-104.5599976,-613.7785645,2010.732178,0,1,1,0
39420,21,-103.0075684,-614.6277466,2014.584595,41.83422852,-667.8100586,1879.187622,-299.6526184,-326.4718018,2046.121338,-104.3203125,-621.4104004,2012.553711,-110.7525635,-792.5820313,1954.956299,-103.4694214,-613.3701782,2016.011597,0,1,1,0
39421,21,-101.789917,-613.9733887,2004.125244,41.75616455,-667.7351685,1879.537964,-298.6867065,-316.833374,2033.165405,-102.9711304,-620.4321289,2002.150391,-108.7223511,-786.838501,1952.035767,-101.9927368,-612.6229248,2006.107056,0,1,1,0
39422,21,-103.617981,-622.6361084,2019.848145,41.9753418,-668.4335938,1879.211792,-309.4185181,-330.8374023,2049.172363,-104.4677124,-628.8066406,2018.486816,-112.8342285,-786.9187622,1957.486328,-103.4354858,-621.3529663,2022.747559,0,1,1,0
39423,21,-112.7412109,-614.4320679,2010.326416,41.98010254,-671.8980103,1881.777832,-303.5848083,-319.0718994,2044.920898,-113.291748,-620.6681519,2008.872192,-113.4273071,-787.8033447,1955.397217,-112.4390259,-613.3651123,2013.036865,0,1,1,0
39424,21,-105.6224365,-607.4557495,2010.843018,42.06719971,-671.5770264,1880.010742,-300.6105957,-318.402832,2044.407593,-106.2498779,-614.2553711,2008.960693,-107.5974731,-788.651062,1955.722168,-105.5013428,-606.017395,2012.553955,0,1,1,0
39425,21,-99.54797363,-614.9449463,2008.822876,42.04510498,-666.2546387,1878.987915,-307.6645508,-319.1672363,2039.299805,-100.571167,-621.8287354,2006.615234,-108.2299805,-791.6184692,1955.175903,-99.82299805,-613.8574219,2010.361694,0,1,1,0
39426,21,-97.60095215,-613.7371216,2011.874634,41.53466797,-666.7110596,1878.661865,-301.5758057,-334.9048462,2042.737305,-98.9664917,-620.8614502,2009.898926,-109.5280151,-787.5437012,1953.162231,-97.80505371,-612.9078369,2013.531006,0,1,1,0
39427,21,-97.48535156,-614.989624,2009.449341,42.93005371,-664.1087036,1876.922607,-304.0108337,-330.0455933,2041.237305,-99.21826172,-622.0859985,2007.55835,-111.4185791,-789.7109375,1956.281982,-97.52856445,-614.2387695,2011.201416,0,1,1,0
49487,22,-331.4749146,-290.5357666,2041.735107,-224.4592896,-310.4487305,1815.860596,-289.6842041,-115.0477905,2265.847656,-335.1481934,-290.7035522,2039.244629,-415.4915161,-287.6352539,1861.494629,-329.8540649,-292.8275146,2049.276855,1,1,1,1
49488,22,-338.6744385,-284.0004272,2049.518066,-224.8178711,-309.2788391,1812.019287,-292.2797241,-109.1217041,2264.583008,-341.4483643,-284.4387817,2047.539551,-417.2079163,-305.2025146,1859.037476,-337.5981445,-285.9526978,2057.075928,1,1,1,1
49489,22,-335.963501,-271.0261841,2044.598633,-227.2468872,-300.9840698,1808.938232,-295.0393066,-109.7753906,2265.852783,-337.9663086,-271.692688,2043.027588,-414.6219177,-305.2204895,1869.273193,-334.6031494,-272.8723755,2052.214355,1,1,1,1
49490,22,-347.2837524,-276.4515381,2033.934448,-230.5863647,-303.12146,1812.259033,-299.3097534,-110.0604858,2268.476318,-349.2660522,-276.8486938,2032.181641,-420.1431885,-306.887085,1864.924927,-345.088501,-278.2061768,2041.828857,1,1,1,1
49491,22,-346.6376343,-281.5041504,2045.012939,-232.717041,-307.9803467,1809.362549,-302.6516113,-103.7694702,2258.372803,-348.6646118,-280.664978,2043.171387,-429.355957,-313.0375061,1863.969971,-344.3927002,-280.7670288,2052.643555,1,1,1,1
