id,trial,nose_x,nose_y,nose_z,nose_confidence,headTop_x,headTop_y,headTop_z,headTop_confidence,neck_x,neck_y,neck_z,neck_confidence,tailBase_x,tailBase_y,tailBase_z,tailBase_confidence,lEar_x,lEar_y,lEar_z,lEar_confidence,lShoulder_x,lShoulder_y,lShoulder_z,lShoulder_confidence,lElbow_x,lElbow_y,lElbow_z,lElbow_confidence,lWrist_x,lWrist_y,lWrist_z,lWrist_confidence,lHip_x,lHip_y,lHip_z,lHip_confidence,lKnee_x,lKnee_y,lKnee_z,lKnee_confidence,lAnkle_x,lAnkle_y,lAnkle_z,lAnkle_confidence,rEar_x,rEar_y,rEar_z,rEar_confidence,rShoulder_x,rShoulder_y,rShoulder_z,rShoulder_confidence,rElbow_x,rElbow_y,rElbow_z,rElbow_confidence,rWrist_x,rWrist_y,rWrist_z,rWrist_confidence,rHip_x,rHip_y,rHip_z,rHip_confidence,rKnee_x,rKnee_y,rKnee_z,rKnee_confidence,rAnkle_x,rAnkle_y,rAnkle_z,rAnkle_confidence
98295,16,1118.327148,-484.0427856,1779.369019,0.87267643,1118.295898,-480.3048096,1733.07312,0.8056949,,,,0.10090048,1333.717529,-606.3603516,2083.69751,0.8737701,,,,0.81599164,,,,0.5473238,,,,0.47183692,1253.58667,-331.2989502,1727.753418,0.9196642,,,,0.2565438,1437.060181,-584.3878174,2050.164795,0.028871333,1445.251465,-612.9449463,2234.708984,0.119208544,1216.637817,-509.4606628,1718.084717,0.879352,,,,0.6482591,1157.164795,-412.0801697,1957.881226,0.9463407,1016.715698,-327.6497192,1962.0,1.0,,,,0.5408455,1175.703857,-483.2473145,2157.102783,0.79824394,1141.60791,-479.5144043,2335.983154,1.0
98296,16,1116.549316,-475.7418518,1795.063721,0.9766146,1113.565186,-472.5812378,1747.712891,0.9093617,,,,0.24277364,1343.327637,-591.9002686,2088.216309,0.8534551,1166.669434,-398.1283569,1717.386353,0.89683896,,,,0.53085834,,,,0.025051966,1222.777588,-344.3352051,1826.276367,0.917611,,,,0.28042522,1207.921753,-453.3349304,2061.716797,0.007113684,1187.687744,-506.1036377,1921.678711,0.08406018,1202.815186,-495.5558472,1731.758057,0.91080415,1154.180542,-459.0021667,1847.88501,0.73167306,1158.33374,-411.1671448,1975.057861,0.97643095,1016.596313,-318.3650513,2009.135498,1.0,1263.418335,-583.5762939,2097.552979,0.70550954,1171.686768,-488.5838318,2160.461426,0.75935316,1127.623657,-478.4869385,2342.007324,1.0
98297,16,1102.72229,-468.1420898,1811.770874,0.9662914,1103.977905,-461.6864929,1762.701904,0.9774781,,,,0.28975025,1344.979736,-586.449646,2094.962646,0.78394204,1154.926392,-387.1125488,1739.545166,0.8642911,,,,0.69960517,,,,0.024280988,1195.405762,-332.6611938,1877.560181,0.82129115,,,,0.3084797,1161.848633,-497.9006348,2156.964844,0.013681997,1410.661011,-532.3505859,2217.322754,0.12866119,1186.347412,-484.0539246,1745.103271,0.9350923,1149.757568,-446.357666,1870.052612,0.82876176,1148.38269,-419.2467651,1992.571777,0.8687006,1029.822754,-319.3637085,2055.543701,0.936381,1253.724609,-595.4402466,2100.905273,0.8797641,1164.429443,-495.9661255,2162.231689,0.81950325,1117.938477,-478.3443909,2346.847656,0.97364706
98298,16,1090.803589,-457.8164063,1820.881592,0.9370428,1090.152466,-450.3934631,1771.663208,1.0,,,,0.24307539,1344.10144,-588.3062744,2104.6604,0.85780925,,,,0.7930322,1203.378296,-366.2275085,1826.125854,0.8959951,,,,0.012449726,1139.682861,-334.4451904,1919.380371,0.82062405,,,,0.37228227,1261.943604,-536.2033691,2085.570068,0.01601973,1384.757446,-559.2028809,2305.820068,0.30244526,1177.625122,-472.0956421,1758.568848,0.85194457,1150.296265,-438.7977905,1872.768188,0.8678048,1138.928467,-424.5058594,2007.109131,0.7457888,1028.781982,-328.3613281,2077.521484,0.7750071,1269.904663,-595.8895874,2110.012939,0.90786165,1151.498901,-493.2155151,2171.487793,0.8940995,1110.341309,-475.4065247,2349.869141,1.0
98299,16,1078.388184,-449.6853638,1835.899658,0.9713092,1075.723022,-441.7422485,1788.365479,0.96199316,,,,0.13065024,1349.888672,-587.6239624,2108.738281,0.7552129,,,,0.6914158,1183.206421,-352.2242432,1838.861572,0.9427542,,,,0.024677485,,,,0.34165534,,,,0.36415735,1329.160889,-551.6894531,2055.421631,0.03152401,1349.746338,-564.3726196,2318.686279,0.26764843,,,,0.6820779,1151.829834,-446.8856201,1887.182373,0.75427914,1144.39502,-425.1781311,2021.248535,0.81114095,1013.041748,-326.973877,2063.60498,0.7848173,1271.231323,-595.5358887,2110.270264,0.97301286,1141.471191,-493.1363831,2172.776367,0.89770633,1103.240479,-472.3754883,2349.621826,1.0
98300,16,1062.53418,-441.6058044,1853.355103,0.9588153,1059.003418,-429.8474426,1806.412354,1.0,,,,0.20213176,,,,0.4262923,,,,0.783284,1165.368164,-339.9846802,1861.49292,0.93318486,,,,0.012755252,1163.86731,-331.8756714,1982.016235,0.63521516,,,,0.22526093,1202.588379,-460.7800598,2092.443848,0.007926486,1325.083374,-568.6786499,2298.814941,0.15756793,,,,0.5550514,1161.41748,-446.6750793,1903.082886,0.9660973,1140.564209,-422.3135986,2049.181885,0.8412297,1006.11731,-334.1380615,2071.140137,0.87195367,1261.410034,-600.348999,2113.558105,0.94205976,1140.669678,-495.3291626,2175.364502,0.9718181,1100.807129,-467.9159851,2349.237793,1.0
98301,16,1035.375977,-428.531189,1870.968384,1.0,1029.983154,-418.433075,1824.422241,1.0,,,,0.2612971,,,,0.4945246,,,,0.701736,1148.213501,-325.9628296,1888.47937,0.9503196,,,,0.021873595,1085.368408,-344.0801392,2014.935791,0.8962029,,,,0.22293447,1189.255615,-483.4996948,2100.157471,0.02770681,1291.464355,-558.7540283,2314.724365,0.26395783,1114.946777,-432.4518433,1809.735229,0.9213124,1138.442261,-435.4810486,1922.444092,0.821526,1134.042969,-430.3963928,2085.825684,0.74996597,1035.288696,-348.5458984,2172.455566,0.8306304,1254.002197,-601.6851807,2111.036133,0.9394617,1130.009888,-498.0974731,2182.607666,0.9433132,1093.629395,-463.1227112,2351.0625,1.0
98302,16,1015.450073,-419.3560181,1889.400879,0.96660584,1016.276001,-405.6784058,1842.328003,0.9864931,,,,0.737551,1336.130615,-590.0048828,2100.050537,0.69512445,1060.545898,-320.1055298,1841.317871,0.92773026,1135.588135,-322.0540161,1918.790894,0.9645316,,,,0.0743105,1041.210693,-333.1470337,2044.890259,0.90789527,,,,0.33782446,1126.061646,-429.4830627,2181.581787,0.02513605,1259.027344,-550.7104492,2326.995605,0.29709983,1101.535767,-420.7231445,1825.845215,0.97539955,,,,0.63490945,1113.676025,-433.9122314,2095.265869,0.79732805,1060.668823,-355.9365234,2231.505371,0.8029025,1257.755493,-601.7260742,2113.627441,0.9333578,1176.718384,-500.6389771,2183.440918,0.7818084,1095.977051,-462.500061,2352.696045,0.9859533
98303,16,986.4832764,-410.1374512,1910.579468,0.9862455,987.5718384,-396.8312683,1863.07666,0.97954947,,,,0.68974745,1315.746338,-582.6959839,2091.695068,0.67175347,,,,0.84082943,1112.030151,-318.6991577,1949.865967,0.85108817,1153.807861,-325.0460205,2115.638184,0.6535154,1000.729004,-321.1628418,2073.401367,0.95212257,,,,0.5884895,1232.610107,-481.1798096,2220.829102,0.044847958,1284.291504,-536.1456909,2253.476563,0.07060437,1082.263184,-405.864624,1849.691772,0.994248,,,,0.49977928,1090.763672,-433.4898071,2100.937988,0.7668672,1020.889771,-371.8384399,2247.547607,0.8126575,1250.661133,-600.3612061,2116.072266,0.93150437,1125.427368,-498.9310608,2179.844482,0.9485027,1125.411499,-473.5516357,2341.7146,0.9916229
98304,16,966.3775635,-401.7673035,1931.310547,0.9899187,964.256897,-388.0700989,1884.296997,0.9975315,1072.096802,-334.8399658,1904.45459,0.7822144,1309.001221,-575.5361328,2097.178223,0.8346936,,,,0.83850634,1075.246948,-301.7694702,1965.919434,0.90064824,1141.072388,-324.7529907,2130.909424,0.6531322,987.0635986,-317.3937378,2093.454346,0.969774,1343.979736,-532.4344482,2116.856445,0.7955551,1163.738037,-483.9352722,2236.550781,0.045643196,1344.981323,-486.3011169,2124.633545,0.05685969,1060.729248,-394.2263489,1869.46814,0.9691085,1059.957764,-413.0701904,1973.686035,0.70436776,1086.31543,-437.2763062,2122.105225,0.81505984,1005.952026,-374.1307068,2263.539795,0.8300778,1244.751831,-595.8630371,2117.94458,0.9306415,1111.103394,-496.7268372,2182.292969,0.77253276,1127.341553,-468.4810181,2343.873047,0.945236
