,orginal,shuffled,,,,
_h150_val7_oc,0.865277441,0.865277441,TRUE,,_h140_val7_oc,0.875498008
_h0_val8_oc,0.944444444,0.944444444,TRUE,,_h150_val7_oc,0.865277441
_h10_val8_oc,0.946960151,0.946960151,TRUE,,_h0_val8_oc,0.944444444
_h20_val8_oc,0.949307457,0.949307457,TRUE,,_h10_val8_oc,0.946960151
_h30_val8_oc,0.953946284,0.953946284,TRUE,,_h20_val8_oc,0.949307457
_h40_val8_oc,0.954629786,0.954629786,TRUE,,_h30_val8_oc,0.953946284
_h50_val8_oc,0.954137157,0.954137157,TRUE,,_h40_val8_oc,0.954629786
_h60_val8_oc,0.950699239,0.950699239,TRUE,,_h50_val8_oc,0.954137157
_h70_val8_oc,0.945543656,0.945543656,TRUE,,_h60_val8_oc,0.950699239
_h80_val8_oc,0.938349786,0.938349786,TRUE,,_h70_val8_oc,0.945543656
_h90_val8_oc,0.928667049,0.928667049,TRUE,,_h80_val8_oc,0.938349786
_h100_val8_oc,0.91869719,0.91869719,TRUE,,_h90_val8_oc,0.928667049
_h110_val8_oc,0.909325116,0.909325116,TRUE,,_h100_val8_oc,0.91869719
_h120_val8_oc,0.901538781,0.901538781,TRUE,,_h110_val8_oc,0.909325116
_h130_val8_oc,0.891839794,0.891839794,TRUE,,_h120_val8_oc,0.901538781
_h140_val8_oc,0.883804372,0.883804372,TRUE,,_h130_val8_oc,0.891839794
_h150_val8_oc,0.874629756,0.874629756,TRUE,,_h140_val8_oc,0.883804372
_h0_val9_oc,0.941108453,0.941108453,TRUE,,_h150_val8_oc,0.874629756
_h10_val9_oc,0.943107667,0.943107667,TRUE,,_h0_val9_oc,0.941108453
_h20_val9_oc,0.946577629,0.946577629,TRUE,,_h10_val9_oc,0.943107667
_h30_val9_oc,0.951410256,0.951410256,TRUE,,_h20_val9_oc,0.946577629
_h40_val9_oc,0.95262697,0.95262697,TRUE,,_h30_val9_oc,0.951410256
_h50_val9_oc,0.952468582,0.952468582,TRUE,,_h40_val9_oc,0.95262697
_h60_val9_oc,0.94912523,0.94912523,TRUE,,_h50_val9_oc,0.952468582
_h70_val9_oc,0.943903592,0.943903592,TRUE,,_h60_val9_oc,0.94912523
_h80_val9_oc,0.935873786,0.935873786,TRUE,,_h70_val9_oc,0.943903592
_h90_val9_oc,0.926247505,0.926247505,TRUE,,_h80_val9_oc,0.935873786
_h100_val9_oc,0.916529774,0.916529774,TRUE,,_h90_val9_oc,0.926247505
_h110_val9_oc,0.903435518,0.903435518,TRUE,,_h100_val9_oc,0.916529774
_h120_val9_oc,0.891775599,0.891775599,TRUE,,_h110_val9_oc,0.903435518
_h130_val9_oc,0.878595506,0.878595506,TRUE,,_h120_val9_oc,0.891775599
_h140_val9_oc,0.868097448,0.868097448,TRUE,,_h130_val9_oc,0.878595506
_h150_val9_oc,0.85941247,0.85941247,TRUE,,_h140_val9_oc,0.868097448
_h0_val10_oc,0.938005494,0.938005494,TRUE,,_h150_val9_oc,0.85941247
_h10_val10_oc,0.941564011,0.941564011,TRUE,,_h0_val10_oc,0.938005494
_h20_val10_oc,0.945600191,0.945600191,TRUE,,_h10_val10_oc,0.941564011
_h30_val10_oc,0.951328877,0.951328877,TRUE,,_h20_val10_oc,0.945600191
_h40_val10_oc,0.953320541,0.953320541,TRUE,,_h30_val10_oc,0.951328877
_h50_val10_oc,0.954937639,0.954937639,TRUE,,_h40_val10_oc,0.953320541
_h60_val10_oc,0.953483284,0.953483284,TRUE,,_h50_val10_oc,0.954937639
_h70_val10_oc,0.948905437,0.948905437,TRUE,,_h60_val10_oc,0.953483284
_h80_val10_oc,0.941652862,0.941652862,TRUE,,_h70_val10_oc,0.948905437
_h90_val10_oc,0.931324391,0.931324391,TRUE,,_h80_val10_oc,0.941652862
_h100_val10_oc,0.921453522,0.921453522,TRUE,,_h90_val10_oc,0.931324391
_h110_val10_oc,0.909684819,0.909684819,TRUE,,_h100_val10_oc,0.921453522
_h120_val10_oc,0.900061564,0.900061564,TRUE,,_h110_val10_oc,0.909684819
_h130_val10_oc,0.890027467,0.890027467,TRUE,,_h120_val10_oc,0.900061564
_h140_val10_oc,0.880796865,0.880796865,TRUE,,_h130_val10_oc,0.890027467
_h150_val10_oc,0.870199865,0.870199865,TRUE,,_h140_val10_oc,0.880796865
_h0_val11_oc,0.938378378,0.938378378,TRUE,,_h150_val10_oc,0.870199865
_h10_val11_oc,0.941554854,0.941554854,TRUE,,_h0_val11_oc,0.938378378
_h20_val11_oc,0.946529459,0.946529459,TRUE,,_h10_val11_oc,0.941554854
_h30_val11_oc,0.952146986,0.952146986,TRUE,,_h20_val11_oc,0.946529459
_h40_val11_oc,0.954606932,0.954606932,TRUE,,_h30_val11_oc,0.952146986
_h50_val11_oc,0.955541126,0.955541126,TRUE,,_h40_val11_oc,0.954606932
_h60_val11_oc,0.953815439,0.953815439,TRUE,,_h50_val11_oc,0.955541126
_h70_val11_oc,0.949044586,0.949044586,TRUE,,_h60_val11_oc,0.953815439
_h80_val11_oc,0.941409897,0.941409897,TRUE,,_h70_val11_oc,0.949044586
_h90_val11_oc,0.930584851,0.930584851,TRUE,,_h80_val11_oc,0.941409897
_h100_val11_oc,0.919359606,0.919359606,TRUE,,_h90_val11_oc,0.930584851
_h110_val11_oc,0.908409321,0.908409321,TRUE,,_h100_val11_oc,0.919359606
_h120_val11_oc,0.898852972,0.898852972,TRUE,,_h110_val11_oc,0.908409321
_h130_val11_oc,0.889957035,0.889957035,TRUE,,_h120_val11_oc,0.898852972
_h140_val11_oc,0.880952381,0.880952381,TRUE,,_h130_val11_oc,0.889957035
_h150_val11_oc,0.872114286,0.872114286,TRUE,,_h140_val11_oc,0.880952381
_h0_val12_oc,0.937375441,0.937375441,TRUE,,_h150_val11_oc,0.872114286
_h10_val12_oc,0.941602695,0.941602695,TRUE,,_h0_val12_oc,0.937375441
_h20_val12_oc,0.946299856,0.946299856,TRUE,,_h10_val12_oc,0.941602695
_h30_val12_oc,0.95276913,0.95276913,TRUE,,_h20_val12_oc,0.946299856
_h40_val12_oc,0.95602046,0.95602046,TRUE,,_h30_val12_oc,0.95276913
_h50_val12_oc,0.956294007,0.956294007,TRUE,,_h40_val12_oc,0.95602046
_h60_val12_oc,0.954909379,0.954909379,TRUE,,_h50_val12_oc,0.956294007
_h70_val12_oc,0.949846653,0.949846653,TRUE,,_h60_val12_oc,0.954909379
_h80_val12_oc,0.943133444,0.943133444,TRUE,,_h70_val12_oc,0.949846653
_h90_val12_oc,0.932357971,0.932357971,TRUE,,_h80_val12_oc,0.943133444
_h100_val12_oc,0.921676752,0.921676752,TRUE,,_h90_val12_oc,0.932357971
_h110_val12_oc,0.910445515,0.910445515,TRUE,,_h100_val12_oc,0.921676752
_h120_val12_oc,0.901352467,0.901352467,TRUE,,_h110_val12_oc,0.910445515
_h130_val12_oc,0.891345949,0.891345949,TRUE,,_h120_val12_oc,0.901352467
_h140_val12_oc,0.882095113,0.882095113,TRUE,,_h130_val12_oc,0.891345949
_h150_val12_oc,0.873671716,0.873671716,TRUE,,_h140_val12_oc,0.882095113
_h0_val13_oc,0.939277389,0.939277389,TRUE,,_h150_val12_oc,0.873671716
_h10_val13_oc,0.942017474,0.942017474,TRUE,,_h0_val13_oc,0.939277389
_h20_val13_oc,0.945857027,0.945857027,TRUE,,_h10_val13_oc,0.942017474
_h30_val13_oc,0.950665004,0.950665004,TRUE,,_h20_val13_oc,0.945857027
_h40_val13_oc,0.953106383,0.953106383,TRUE,,_h30_val13_oc,0.950665004
_h50_val13_oc,0.95374891,0.95374891,TRUE,,_h40_val13_oc,0.953106383
_h60_val13_oc,0.951251117,0.951251117,TRUE,,_h50_val13_oc,0.95374891
_h70_val13_oc,0.945646196,0.945646196,TRUE,,_h60_val13_oc,0.951251117
_h80_val13_oc,0.939463782,0.939463782,TRUE,,_h70_val13_oc,0.945646196
_h90_val13_oc,0.929661836,0.929661836,TRUE,,_h80_val13_oc,0.939463782
_h100_val13_oc,0.919513406,0.919513406,TRUE,,_h90_val13_oc,0.929661836
_h110_val13_oc,0.908784474,0.908784474,TRUE,,_h100_val13_oc,0.919513406
_h120_val13_oc,0.899684543,0.899684543,TRUE,,_h110_val13_oc,0.908784474
_h130_val13_oc,0.890682557,0.890682557,TRUE,,_h120_val13_oc,0.899684543
_h140_val13_oc,0.882178771,0.882178771,TRUE,,_h130_val13_oc,0.890682557
_h150_val13_oc,0.872433679,0.872433679,TRUE,,_h140_val13_oc,0.882178771
_h0_val14_oc,0.941395824,0.941395824,TRUE,,_h150_val13_oc,0.872433679
_h10_val14_oc,0.944573768,0.944573768,TRUE,,_h0_val14_oc,0.941395824
_h20_val14_oc,0.947815733,0.947815733,TRUE,,_h10_val14_oc,0.944573768
_h30_val14_oc,0.953437553,0.953437553,TRUE,,_h20_val14_oc,0.947815733
_h40_val14_oc,0.954983646,0.954983646,TRUE,,_h30_val14_oc,0.953437553
_h50_val14_oc,0.955988711,0.955988711,TRUE,,_h40_val14_oc,0.954983646
_h60_val14_oc,0.952432628,0.952432628,TRUE,,_h50_val14_oc,0.955988711
_h70_val14_oc,0.946604194,0.946604194,TRUE,,_h60_val14_oc,0.952432628
_h80_val14_oc,0.93870261,0.93870261,TRUE,,_h70_val14_oc,0.946604194
_h90_val14_oc,0.929731846,0.929731846,TRUE,,_h80_val14_oc,0.93870261
