id,trial,s_1,s_2,s_3,s_4,tag
24560,1,0,1,1,1,0
24561,1,0,1,1,1,0
24562,1,0,1,1,1,0
24563,1,0,1,1,1,0
24564,1,0,1,1,1,0
24565,1,0,1,1,1,0
24566,1,0,1,1,1,0
24567,1,0,1,1,1,0
24568,1,0,1,1,1,0
24569,1,0,1,1,1,0
24570,1,0,1,1,1,0
24571,1,0,1,1,1,0
24572,1,0,1,1,1,0
24573,1,0,1,1,1,0
24574,1,0,1,1,1,0
24575,1,0,1,1,1,0
24576,1,0,1,1,1,0
24577,1,0,1,1,1,0
24578,1,0,1,1,1,0
24579,1,0,1,1,1,0
24580,1,0,1,1,1,0
24581,1,0,1,1,1,0
24582,1,0,1,1,1,0
24583,1,0,1,1,1,0
24584,1,0,1,1,1,0
24585,1,0,1,1,1,0
24586,1,0,1,1,1,0
24587,1,0,1,1,1,0
24588,1,0,1,1,1,0
24589,1,0,1,1,1,0
24590,1,0,1,1,1,0
24591,1,0,1,1,1,0
24592,1,0,1,1,1,0
24593,1,0,1,1,1,0
24594,1,0,1,1,1,0
24595,1,0,1,1,1,0
24596,1,0,1,1,1,0
24597,1,0,1,1,1,0
24598,1,0,1,1,1,0
24599,1,0,1,1,1,0
24600,1,0,1,1,1,0
24601,1,0,1,1,1,0
24602,1,0,1,1,1,0
24603,1,0,1,1,1,0
24604,1,0,1,1,1,0
24605,1,0,1,1,1,0
24606,1,0,1,1,1,0
24607,1,0,1,1,1,0
24608,1,0,1,1,1,0
24609,1,0,1,1,1,0
24610,1,0,1,1,1,0
24611,1,0,1,1,1,0
24612,1,0,1,1,1,0
24613,1,0,1,1,1,0
24614,1,0,1,1,1,0
24615,1,0,1,1,1,0
24616,1,0,1,1,1,0
24617,1,0,1,1,1,0
24618,1,0,1,1,1,0
24619,1,0,1,1,1,0
24620,1,0,1,1,1,0
24621,1,0,1,1,1,0
24622,1,0,1,1,1,0
24623,1,0,1,1,1,0
24624,1,0,1,1,1,0
24625,1,0,1,1,1,0
24626,1,0,1,1,1,0
