H_id,H_trial,H_headFront_x,H_headFront_y,H_headFront_z,H_neck_x,H_neck_y,H_neck_z,H_lowerBack_x,H_lowerBack_y,H_lowerBack_z,H_leftWrist_x,H_leftWrist_y,H_leftWrist_z,H_leftShoulder_x,H_leftShoulder_y,H_leftShoulder_z,H_leftElbow_x,H_leftElbow_y,H_leftElbow_z
69825,9,-324.5108032,-227.9890747,2042.749756,-232.7109375,-207.7642822,1820.631836,-351.8357544,-50.58789063,2279.488037,-347.40979,-222.1079102,2044.66748,-403.4225464,-246.0845947,1871.970947,-447.4750977,-340.884491,2077.957031
69826,9,-324.5428467,-235.350647,2030.925659,-219.7261353,-204.1272583,1819.397217,-332.8237915,-68.60699463,2292.672607,-340.2578125,-221.1837769,2041.741699,-390.6607666,-240.2321777,1869.54126,-436.4446716,-340.4619751,2083.477783
69827,9,-321.899292,-240.8313599,2021.994751,-217.4179077,-204.9066162,1818.216675,-331.9449463,-65.35949707,2282.219482,-338.5193481,-229.1951294,2034.667236,-391.0614014,-246.828186,1874.096436,-425.708252,-396.2084656,2085.066406
69828,9,-318.1369019,-232.5569458,2040.003906,-210.3568726,-197.9219971,1819.098389,-322.0148315,-86.28875732,2301.859863,-335.501709,-223.3728027,2048.604492,-381.2098389,-261.0753784,1872.695557,-407.0143433,-371.6893005,2079.162354
69829,9,-319.3012085,-244.9997559,2062.412109,-211.5390015,-188.6727905,1820.37207,-352.4022217,-50.56665039,2259.976563,-337.4552002,-229.4970703,2061.052002,-379.4016724,-247.5211182,1868.453491,-390.8891296,-353.6650085,2051.376221
69830,9,-307.0512695,-238.2015991,2059.690918,-202.6131592,-186.9084473,1818.365356,-348.1904907,-54.85302734,2290.886719,-328.0350342,-226.3034668,2060.810791,-371.8953857,-246.2663574,1867.835938,-394.4871216,-403.5715942,2072.430664
69831,9,-304.2851563,-251.197937,2049.611816,-199.0831909,-190.4934082,1819.609253,-362.9707336,-54.48925781,2271.828369,-326.6289063,-235.788147,2050.47583,-369.1060181,-243.5202637,1862.28125,-391.2780457,-394.4112549,2070.250244
69832,9,-293.4020996,-237.8242188,2041.92688,-191.5786743,-185.4451294,1814.231445,-358.1821594,-47.4699707,2264.713135,-316.5864868,-227.8959961,2041.763428,-362.0655212,-245.9055176,1863.434937,-385.2131958,-362.9350281,2064.731689
69833,9,-296.008606,-226.3374023,2028.472168,-185.8269043,-191.2849121,1811.847534,-358.755127,-32.99102783,2240.078613,-315.039856,-223.1449585,2027.300049,-354.8695374,-250.6488037,1864.031128,-387.8670349,-379.1784363,2056.498535
69834,9,-288.4512329,-226.6635132,2027.239258,-183.1935425,-192.3504639,1809.176147,-354.3505554,-34.41070557,2238.863281,-309.5109863,-223.4691772,2026.084473,-350.7703857,-259.487854,1867.960693,-380.1171875,-401.6729126,2058.313965
69835,9,-283.1381226,-247.9370728,2032.390869,-175.3710938,-203.836792,1818.689453,-341.9632568,-61.75793457,2256.26001,-304.8019409,-237.6741333,2038.580078,-347.1637878,-263.4788818,1872.81958,-379.9918213,-400.9484253,2061.484863
69836,9,-284.5548706,-249.4762573,2043.877197,-172.2947998,-206.9627075,1820.74939,-335.5878906,-54.63977051,2264.04126,-302.0202637,-239.484375,2046.490234,-339.1209717,-272.6479492,1870.20752,-371.0197754,-421.1955261,2061.517334
69837,9,-286.1051025,-235.4966431,2026.869873,-166.3505859,-209.5079956,1811.695313,-353.7674561,-57.81005859,2265.71167,-299.5392456,-231.9244385,2029.055908,-335.4970093,-272.7158203,1868.679932,-360.1471252,-420.3268433,2056.204102
69838,9,-279.2269287,-237.4628906,2027.135498,-159.2757568,-213.3795166,1810.330566,-351.4669495,-57.9855957,2266.643066,-294.2946777,-232.5012817,2030.250977,-331.144928,-276.7532959,1865.410156,-348.7652893,-392.7372437,2047.050293
