shift,trial,smh,sm,sh,s
140,4,0.865448505,0.874166667,0.925249169,0.801666667
10,5,0.939856373,0.933453237,0.961400359,0.985161871
20,5,0.952468007,0.94459707,0.963893967,0.971153846
30,5,0.96461825,0.957089552,0.966945996,0.956623134
40,5,0.971062619,0.964828897,0.963946869,0.946292776
50,5,0.980174081,0.973352713,0.96131528,0.935562016
60,5,0.989151874,0.98270751,0.959072978,0.924407115
70,5,0.991448692,0.991935484,0.958249497,0.912802419
80,5,0.988706366,0.99845679,0.948665298,0.900720165
90,5,0.982180294,0.988970588,0.943396226,0.888130252
100,5,0.971627409,0.979077253,0.938972163,0.875
110,5,0.961159737,0.967653509,0.932713348,0.86129386
120,5,0.951901566,0.958520179,0.922259508,0.849775785
130,5,0.946224256,0.951834862,0.916475973,0.84059633
140,5,0.940866511,0.944835681,0.913934426,0.836267606
10,6,0.943073248,0.958532695,0.941082803,0.986842105
20,6,0.951456311,0.959886548,0.949029126,0.974473258
30,6,0.956414474,0.95675453,0.952713816,0.96169687
40,6,0.960702341,0.952261307,0.955267559,0.948492462
50,6,0.959183673,0.951022147,0.959183673,0.93483816
60,6,0.956747405,0.950606586,0.96366782,0.920710572
70,6,0.961267606,0.957231041,0.962588028,0.906084656
80,6,0.964157706,0.961849192,0.958781362,0.890933573
90,6,0.958485401,0.962522852,0.952554745,0.875228519
100,6,0.951208178,0.953910615,0.94563197,0.858938547
110,6,0.937973485,0.94259962,0.933712121,0.842030361
120,6,0.922779923,0.933268859,0.917953668,0.824468085
130,6,0.907480315,0.924063116,0.902066929,0.853057199
140,6,0.893072289,0.912977867,0.887048193,0.836016097
10,7,0.955188679,0.954330709,0.972877358,0.987007874
20,7,0.966453674,0.9656,0.975239617,0.9748
30,7,0.977272727,0.976829268,0.976866883,0.962195122
40,7,0.988861386,0.988842975,0.978960396,0.949173554
50,7,0.997902685,0.997058824,0.973573826,0.939495798
60,7,0.993600683,0.994444444,0.965443686,0.92991453
70,7,0.985677083,0.985652174,0.957465278,0.92
80,7,0.977031802,0.97699115,0.948321555,0.909734513
90,7,0.967625899,0.968018018,0.938399281,0.901801802
100,7,0.958333333,0.958256881,0.928571429,0.895412844
110,7,0.948227612,0.947196262,0.918376866,0.888785047
120,7,0.938688213,0.934761905,0.907319392,0.881904762
130,7,0.928294574,0.923300971,0.896317829,0.874757282
140,7,0.918478261,0.912376238,0.888833992,0.867326733
10,8,0.914438503,0.933646113,0.889705882,0.977882038
20,8,0.930631868,0.938705234,0.899038462,0.95661157
30,8,0.949152542,0.943342776,0.918079096,0.934135977
40,8,0.965116279,0.948250729,0.938953488,0.910349854
50,8,0.979041916,0.954204204,0.959580838,0.885135135
60,8,0.991512346,0.94504644,0.972993827,0.858359133
70,8,0.970541401,0.92172524,0.96656051,0.829872204
80,8,0.945723684,0.897689769,0.955592105,0.79950495
90,8,0.920068027,0.86774744,0.931122449,0.767064846
100,8,0.89084507,0.836572438,0.911091549,0.733215548
110,8,0.861313869,0.812271062,0.884124088,0.794871795
120,8,0.832386364,0.789923954,0.851325758,0.768060837
130,8,0.802165354,0.761857708,0.817913386,0.739130435
140,8,0.778688525,0.730452675,0.788934426,0.717078189
10,9,0.942242833,0.949324324,0.9346543,0.899070946
20,9,0.953687822,0.961340206,0.948113208,0.893041237
30,9,0.965532286,0.972027972,0.958551483,0.886800699
40,9,0.976909414,0.983540925,0.968472469,0.880338078
50,9,0.98915009,0.992300725,0.970614828,0.873641304
60,9,0.996777164,0.996309963,0.97053407,0.868081181
70,9,0.99249531,0.98825188,0.967636023,0.865601504
80,9,0.985659656,0.97940613,0.965583174,0.86302682
90,9,0.978557505,0.970214844,0.961013645,0.860351563
100,9,0.970178926,0.960159363,0.951789264,0.857569721
110,9,0.968052738,0.950203252,0.951318458,0.854674797
120,9,0.960144928,0.939834025,0.951345756,0.848029046
130,9,0.951374207,0.929555085,0.949788584,0.839512712
140,9,0.940064795,0.917748918,0.944384449,0.830627706
10,10,0.928225806,0.934466019,0.943548387,0.973300971
20,10,0.949166667,0.936454849,0.949166667,0.947324415
30,10,0.96637931,0.942041522,0.953448276,0.919550173
40,10,0.975,0.948924731,0.960714286,0.890681004
50,10,0.971296296,0.94795539,0.950925926,0.86802974
60,10,0.961538462,0.941119691,0.944230769,0.843629344
70,10,0.941,0.922690763,0.939,0.817269076
80,10,0.917708333,0.90376569,0.920833333,0.788702929
90,10,0.894565217,0.881004367,0.89673913,0.768558952
100,10,0.873863636,0.871004566,0.878409091,0.753424658
110,10,0.857142857,0.866028708,0.867857143,0.741626794
120,10,0.85125,0.859296482,0.86625,0.728643216
130,10,0.846052632,0.853174603,0.865789474,0.714285714
140,10,0.841666667,0.844972067,0.863888889,0.698324022
10,11,0.921391753,0.943152455,0.950386598,0.978682171
20,11,0.937169312,0.953580902,0.949074074,0.958222812
30,11,0.954483696,0.96253406,0.950407609,0.936648501
40,11,0.973463687,0.961484594,0.951117318,0.913865546
50,11,0.971264368,0.957492795,0.949712644,0.889769452
60,11,0.961538462,0.951780415,0.946005917,0.864243323
70,11,0.96570122,0.940366972,0.939786585,0.845565749
80,11,0.965408805,0.929022082,0.936320755,0.832807571
