,shift,val_set,s_model,sm_model,smh_model
s36_val5,36,5,0.951506591,0.992937853,0.993408663
s41_val5,41,5,0.946292776,0.992870722,0.991920152
s46_val5,46,5,0.940978887,0.990882917,0.991362764
s51_val5,51,5,0.935562016,0.985949612,0.987403101
s56_val5,56,5,0.930039139,0.980919765,0.984833659
s61_val5,61,5,0.924407115,0.975790514,0.980237154
s66_val5,66,5,0.918662675,0.970558882,0.975548902
s71_val5,71,5,0.912802419,0.966229839,0.970766129
s76_val5,76,5,0.906822811,0.960794297,0.966395112
s81_val5,81,5,0.900720165,0.955246914,0.96090535
s1_val6,1,6,0.90266876,0.974097331,0.971350078
s6_val6,6,6,0.897943038,0.979825949,0.97903481
s11_val6,11,6,0.893141946,0.985247209,0.984848485
s16_val6,16,6,0.888263666,0.987942122,0.990755627
s21_val6,21,6,0.883306321,0.985008104,0.992706645
s26_val6,26,6,0.878267974,0.982434641,0.992238562
s31_val6,31,6,0.873146623,0.979818781,0.98970346
s36_val6,36,6,0.867940199,0.977159468,0.986295681
s41_val6,41,6,0.862646566,0.969011725,0.979899497
s46_val6,46,6,0.857263514,0.961570946,0.97339527
s51_val6,51,6,0.851788756,0.955706985,0.967206133
s56_val6,56,6,0.846219931,0.948453608,0.9604811
s61_val6,61,6,0.840554593,0.943240901,0.95407279
s66_val6,66,6,0.83479021,0.936188811,0.94798951
s71_val6,71,6,0.849647266,0.92989418,0.940917108
s76_val6,76,6,0.848309609,0.925266904,0.934163701
s81_val6,81,6,0.846947935,0.924147217,0.927289048
s1_val7,1,7,0.998837209,0.963953488,0.964728682
s6_val7,6,7,0.99296875,0.96953125,0.970703125
s11_val7,11,7,0.987007874,0.97480315,0.976377953
s16_val7,16,7,0.980952381,0.98015873,0.982142857
s21_val7,21,7,0.9748,0.986,0.988
s26_val7,26,7,0.968548387,0.991129032,0.993951613
s31_val7,31,7,0.962195122,0.995528455,0.995934959
s36_val7,36,7,0.955737705,0.995081967,0.994262295
s41_val7,41,7,0.949173554,0.990495868,0.988016529
s46_val7,46,7,0.944166667,0.986666667,0.983333333
s51_val7,51,7,0.939495798,0.982352941,0.979411765
